epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3976.05,1.53236,1.98122,1.59696,0.34389,0.29504,0.23933,0.11089,1.791,2.28041,1.80642,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4091.99,1.51845,1.94837,1.58609,0.36544,0.28309,0.2439,0.11309,1.78685,2.27883,1.80358,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4208.49,1.50779,1.92096,1.57837,0.35394,0.29181,0.2434,0.11289,1.8034,2.28657,1.82123,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4324.1,1.50383,1.88958,1.5658,0.35928,0.28543,0.24109,0.11061,1.80702,2.30532,1.81925,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4439.75,1.48913,1.87417,1.55898,0.3465,0.30292,0.24045,0.11129,1.82146,2.29289,1.83562,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4555.45,1.47214,1.84412,1.54567,0.36137,0.28789,0.24038,0.11291,1.81132,2.28371,1.82633,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4671.44,1.47115,1.82823,1.54179,0.37718,0.28556,0.24626,0.11526,1.81197,2.28156,1.82514,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4787.85,1.46157,1.80574,1.53353,0.35848,0.29059,0.24036,0.11164,1.81703,2.2887,1.82868,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4903.65,1.44323,1.77595,1.52753,0.3812,0.29377,0.24914,0.11576,1.82161,2.28499,1.8432,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5020.73,1.44025,1.75776,1.52048,0.3747,0.3052,0.25095,0.11806,1.82074,2.27051,1.83908,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5137.04,1.43578,1.72795,1.50871,0.38309,0.29636,0.25296,0.116,1.82422,2.28632,1.84064,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5253.71,1.41477,1.70238,1.49574,0.39498,0.29916,0.25153,0.11731,1.8165,2.29771,1.84091,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
